model,n_params,val_acc,val_loss,perplex,cdnv,norms_mean,norms_var,etf_error,interfere_mean,interfere_var,log_kern_mean,log_kern_var,dual_error,simdot_mean,simdot_var,simcos_mean,simcos_var,dists_mean,dists_var,hits,misses,norms_log_mean,norms_log_var
02x0768_01d02@0,54342912,0.4878136268383394,2.2773890495300293,9.751187276355267,0.002174031920731,20.804814828595198,35.04877360849295,1.3893455464585822,-0.0160060171974252,6153.120912953185,-0.3329639136791229,0.0160341169685125,1.4055172204971311,2.791945062248848,10.992590098157436,0.2049926966428756,0.0509317032992839,1.246017163705862,0.0374568599933347,841257,3872934,2.9955871329209707,0.0790786948110491
02x0768_01d03@0,54342912,0.4909899599956812,2.257007360458374,9.554453304970783,0.0021021631546318,20.978730546460326,34.68346645671765,1.3895892371117473,-0.0162421119098457,6461.152820491387,-0.3326790630817413,0.016514852643013,1.4054620265960691,2.8232601678119083,10.962667371792922,0.2048651427030563,0.0499539636075496,1.2464561912211938,0.0366176660067557,845678,3868513,3.004968372791648,0.07696408112038532
02x0768_01d04@0,54342912,0.4888649095368692,2.271310567855835,9.69209464188796,0.0021180293988436,20.967945304464802,34.26786282058198,1.3900240601473717,-0.0162124186124603,6669.389444781157,-0.3323339223861694,0.0169139541685581,1.405405879020691,2.8138129710634643,10.8908225330835,0.2045923918485641,0.0498378053307533,1.246706705861973,0.0365386084671523,849246,3864945,3.004873228688451,0.076143830018118
02x0768_01d05@0,54342912,0.4878772638055628,2.2760486602783203,9.738125645529015,0.0020928010344505,20.97681625361387,34.61488730004132,1.3898640973302183,-0.0162370184501493,6602.640273668692,-0.3324872255325317,0.0167253836989402,1.4055217504501345,2.8268665969569398,10.86608831863233,0.205432116985321,0.049819316715002,1.2460285572184469,0.0365495857765769,835411,3878780,3.004936032875147,0.07686055249507019
02x0768_01d06@0,54342912,0.4904876522010648,2.2614548206329346,9.59704098885,0.0020733156707137,20.991050136339968,34.59104742767076,1.389996319272948,-0.0162566382719756,6690.561567405198,-0.3324422836303711,0.0167119652032852,1.4053763151168823,2.8364548625239334,11.01227373795968,0.2056110501289367,0.0501842647790908,1.245752406799692,0.0368798380972779,851379,3862812,3.00568481671438,0.07672819943742465
02x0768_01d07@0,54342912,0.4862309754634945,2.2882630825042725,9.857800616287822,0.0021621896885335,20.90224259009695,34.588594105321846,1.389960515645997,-0.0161292814790935,6566.831198267966,-0.3323326408863067,0.0169241745024919,1.405422568321228,2.804599513208532,10.784448700645964,0.204604223370552,0.0497662685811519,1.2467092404537046,0.0365086104712896,829843,3884348,3.001114175731828,0.07739296642543267
02x0768_01d08@0,54342912,0.4872504396784127,2.285376787185669,9.829389114233964,0.0021454393863677,20.943871537419298,34.450762939167085,1.390134659071364,-0.0161841591210419,6706.903213033816,-0.3321511745452881,0.017156833782792,1.405442714691162,2.7975667623710887,10.763105821129086,0.2037736475467682,0.049397625029087,1.2475105111780789,0.0361712007230254,835295,3878896,3.0034065194313766,0.07679430815565469
02x0768_01d09@0,54342912,0.4866728281392487,2.2873048782348637,9.848359353701747,0.0021212904248386,20.949559778915475,34.70893180099592,1.3899519358554728,-0.0162011425633259,6620.830720893288,-0.3323996663093567,0.0167982224375009,1.4055861234664917,2.796695375046764,10.828259793688318,0.2036510109901428,0.0496470592916011,1.2475633337473824,0.0362846730769466,844066,3870125,3.003368067770398,0.07745894312127918
02x0768_01d10@0,54342912,0.4895386128965405,2.268119096755981,9.66121190882932,0.0021953005343675,20.813602538490127,35.119495142538184,1.3893305380754954,-0.0160209477424754,6157.225946344741,-0.3329793214797973,0.0160131510347127,1.40546977519989,2.795884701905003,10.993931148710056,0.2048941850662231,0.0508636049926281,1.2461166960400285,0.0374058252154771,842665,3871526,2.995918839971448,0.07930891381793141
02x0768_01d11@0,54342912,0.4915179347004109,2.2546486854553223,9.531944011282288,0.0021091634407639,20.894730705035272,34.78159144976757,1.3894472644780431,-0.0161251427504088,6296.117430955838,-0.3329895436763763,0.0160160232335329,1.4054909944534302,2.8227462842182747,11.154501248258754,0.2059256732463836,0.0511928685009479,1.2451679422726922,0.0377064927067599,864067,3850124,3.000552463925832,0.07776037368701165
02x0768_01d12@0,54342912,0.4896440381389072,2.2677440643310547,9.657589320435935,0.0022323476150631,20.816325767782004,34.97307102247534,1.3894709156736411,-0.0160198170887049,6225.911483343907,-0.33284792304039,0.0162399876862764,1.405625820159912,2.7913796066524226,11.056666145814338,0.2044281959533691,0.0510134808719158,1.2464633651175536,0.0374736739482124,839123,3875068,2.99620772751371,0.07901172289284353
02x0768_01d13@0,54342912,0.4888443335841337,2.2732667922973637,9.711073111336672,0.0021704509854316,20.821351592439154,34.65268738412087,1.3896583484784275,-0.0160160161509265,6317.6524884279,-0.3326939642429352,0.016371825709939,1.4055958986282349,2.7956350747636267,11.001281104473788,0.2042698264122009,0.0506178699433803,1.2467215145485222,0.0371468403275279,844620,3869571,2.9968145319927153,0.07829205765622035
02x0768_01d14@0,54342912,0.4897857364525912,2.2669060230255127,9.649499252052664,0.0021119222510606,20.847303893255532,34.79802321167135,1.3894012626469627,-0.0160579814060472,6220.800966178042,-0.3331044614315033,0.015772495418787,1.40545654296875,2.8247165996597454,11.102597614156188,0.2063871771097183,0.0511142611503601,1.2448154151393156,0.0376612367219611,863125,3851066,2.9981097818131506,0.07808587105790357
02x0768_01d15@0,54342912,0.4869163456004901,2.2846899032592773,9.822639783114044,0.0022349213249981,20.787828935140336,34.90050618539919,1.3896917143275216,-0.0159767769618393,6303.702723272069,-0.3325691521167755,0.0165945254266262,1.405470609664917,2.768775641786997,10.754001403639087,0.2034385502338409,0.0502955541014671,1.2474674200375508,0.0369489484424435,836836,3877355,2.9948217023140846,0.07904006646273484
02x0768_01d16@0,54342912,0.4874139866841767,2.2821433544158936,9.797657773589618,0.0022245603613555,20.816956159137508,35.29740786834147,1.3896114964963275,-0.0160318098025804,6306.161361094593,-0.3326084017753601,0.0164997018873691,1.4056401252746582,2.77670551590702,10.938617444262016,0.203708067536354,0.0506756454706192,1.247156022705059,0.0371867133918578,847387,3866804,2.9958479576382424,0.07981496133603488
